PlotID,prefire_LCC,treeheight_mean,BA_HA,QMD,stems_ha,livecancov_loss,deadneedle,deepchar_mean,prop_killedBA,prop_killedSTEM,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,TotalPlotCBI_mean
RICE20,0.574879969,13.57,9.58266697,12.711502,567,0.13,0.5,0,0.158592849,0.41176471,1,0.16,0.04,1.029
RICE21,0.555521909,17.36,7.58053354,15.538417,200,1,6,0,1,1,1,0.95,0.39,2.58
RICE3,0.58793166,15.795,10.9918827,13.050535,411,1,5.9,0,1,1,1,0.89,0.45,2.916666667
RICE4,0.593977967,15.44,11.69300025,9.856701,767,1,6,0.15,1,1,0.99,0.99,0.77,2.841
RICE5,0.538482147,7.405,5.832757,8.620329,500,0.71,2.3,0,0.170618595,0.44444444,0.82,0.08,0.24,1.16
RICE6,0.607122803,16.62,12.97394681,10.61591,733,1,6,0,1,1,1,1,0.44,2.8325
RICE7,0.551875318,12.795,7.20551635,9.089515,556,1,6,0,1,1,1,1,0.43,2.865
RICE8,0.789059544,26.59,36.00568007,29.958132,256,0,0.84,0.1,0.382243232,0.54545455,0.98,0.18,0.23,1.915
RICE9,0.676927063,17.69,20.71110835,20.9707,300,0,2.45,0,0.419961661,0.77777778,0.96,0.29,0.13,1.54
RICEUNB1,0.718693297,16.757209,27.46989024,27.064648,478,0,0,0,0,0,0,0,0,0
RICEUNB2,0.504764648,7.908298,2.39750788,7.995653,478,0,0,0,0,0,0,0,0,0
RICEUNB3,0.619333405,16.664889,20.22617235,29.307793,300,0,0,0,0,0,0,0,0,0
RICEUNB4,0.7013994,13.746375,25.23892286,24.554038,267,0,0,0,0,0,0,0,0,0
RICEUNB5,0.699760848,18.149968,24.55482061,30.136699,344,0,0,0,0,0,0,0,0,0
RICEUNB6,0.68310929,9.693021,21.97460332,16.372113,522,0,0,0,0,0,0,0,0,0
ROCK1,0.700150243,19.815,23.46409636,15.498906,622,0.9,4.1,0.2,0.70119559,0.91071429,0.98,0.28,0.09,2.2
ROCK2,0.895797343,16.75263158,56.58705331,37.556729,256,0.26,1.95,0,0,0,0.93,0.08,0.15,1.3
ROCK3,0.52800528,9.323529412,4.76297465,16.52465,111,0.66,3.53,0,0.024274068,0.2,1,0.48,0.13,1.9
ROCK4,0.573438128,10.90833333,9.43280146,30.021879,133,0.68,3.67,0,0.295691589,0.5,0.99,0.41,0.08,1.6
ROCK5,0.512922049,8.28125,3.22701677,15.207183,178,0.88,5.19,0,1,1,1,0.6,0.23,2.5
ROCK6,0.514686825,5.61,3.40654998,10.564076,389,0.51,3,0,0.131019467,0.62857143,0.91,0.12,0.14,1.2
ROCK7,0.820195508,20.61111111,40.48244868,21.126369,289,0.61,3.39,0,0.182936053,0.72,1,0.34,0.16,1.8
ROCKUNB1,0.833072703,12.5912,47.5769555,22.269482,611,0,0,0,0,0,0,0,0,0
ROCKUNB2,0.645627006,13.36,17.85602855,22.078824,233,0,0,0,0,0,0,0,0,0
ROCKUNB3,0.637934885,13.869235,20.00039243,25.970956,189,0,0,0,0,0,0,0,0,0
ROCKUNB4,0.563982937,10.87235,8.6961263,15.788507,444,0,0,0,0,0,0,0,0,0
